id,edisi,binding,tahun,created_at,updated_at
1,1,Paperback,March 2017,1573898104439,1573898104439
2,1,Paperback,December 1936,1573898109377,1573898109377
3,01,Paperback,December 2015,1573898115546,1573898115546
4,null,Hardcover,September 2019,1573898121715,1573898121715
5,2,Paperback,December 2014,1573898124185,1573898124185
6,1,Paperback,May 2017,1573898126652,1573898126652
7,null,Paperback,December 2013,1573898130354,1573898130354
8,null,Paperback,December 2014,1573898131588,1573898131588
9,1,Paperback,June 2016,1573898136525,1573898136525
10,null,Paperback,December,1573898138992,1573898138992
11,null,Paperback,November 2019,1573898141459,1573898141459
12,main,Paperback,May 2019,1573898143928,1573898143928
13,2nd Edition,Hardcover,September 2016,1573898146396,1573898146396
14,null,Hardcover,May 2019,1573898148864,1573898148864
15,New Ed,Paperback,December 2001,1573898150272,1573898150272
16,null,Paperback,January 2019,1573898153800,1573898153800
17,null,Paperback,January 2012,1573898156268,1573898156268
18,null,Hardcover,December 2017,1573898157502,1573898157502
19,Reprint,Paperback,December 2008,1573898159970,1573898159970
20,null,Hardcover,April 2019,1573898162438,1573898162438
21,null,Hardcover,November 2017,1573898163672,1573898163672
22,1st Edition,Hardcover,December 2018,1573898166181,1573898166181
23,null,Hardcover,April 2019,1573898168608,1573898168608
24,null,Paperback,October 2019,1573898171077,1573898171077
25,1,Board book,October 2019,1573898173544,1573898173544
26,null,Paperback,December 2018,1573898176013,1573898176013
27,null,Paperback,February 2019,1573898177245,1573898177245
28,null,Paperback,March 2019,1573898179715,1573898179715
29,null,Paperback,December 2001,1573898182182,1573898182182
30,1,Paperback,August 2019,1573898184650,1573898184650
